requirement_en,entry,read,write,exit,cfp,interaction,communication,process,microm
Voter chooses the option that indicates that they will try to login as a voter.,1,0,0,0,1,1,0,0,1
System displays the voter page to voter to enter their IZTECH account name and password.,0,0,0,1,1,1,0,0,1
Voter enters their IZTECH account name and password.,1,0,0,0,1,1,0,0,1
System allows access to the website.,0,1,0,1,2,1,1,1,3
Voter enters the voting interface.,1,0,0,0,1,1,0,0,1
System lists the candidates.,0,1,0,1,2,1,1,0,2
Voter casts their vote by clicking on a picture of one of the candidates.,1,0,0,0,1,1,0,0,1
Voter confirms selection.,1,0,0,0,1,1,0,0,1
System saves selection to the database.,1,0,1,0,2,1,1,0,2
Voting process ends.,0,0,0,0,0,0,1,1,2
Candidate chooses the option that indicates that they will try to login as a candidate.,1,0,0,0,1,1,0,0,1
System asks the voter for their IZTECH account name and password and also the code that is given to the candidates to prove they are indeed a candidate.,0,0,0,1,1,0,1,0,1
"The candidate enters their IZTECH account name, password, and the code.",1,0,0,0,1,1,0,0,1
Student chooses the option that indicates that they will try to apply for candidacy.,1,0,0,0,1,1,0,0,1
Student uploads related documents.,1,0,1,0,2,1,1,0,2
System sends the documents for confirmation.,0,0,0,1,1,0,1,0,1
Student chooses the option that indicates they will try to withdraw from the candidacy,1,0,0,0,1,1,0,0,1
System notifies the Secretary about Candidacy withdrawal of the student,0,0,0,1,1,0,1,0,1
"Candidate is unable to successfully login to the system. 
Candidate informs the Department Secretary about the issue",1,0,0,0,1,1,0,0,1
The Department Secretary confirms that the candidate owns the account they are trying to login.,0,1,0,0,1,0,1,1,2
The Department Secretary notifies the system administrator about the issue,0,0,0,1,1,0,1,0,1
The Secretary enters the system who is selected as an Administrator among the Personnel.,1,0,0,0,1,1,0,0,1
System assigns the chosen Personnel as an Administrator.,1,0,1,0,2,1,1,0,2
System asks the secretary for their IZTECH account name and password.,0,0,0,1,1,1,1,0,2
Secretary enters their IZTECH account name and password.,1,0,0,0,1,1,0,0,1
The system sends the election results to the administrator.,0,1,0,1,2,0,2,0,2
The administrator checks the result of the election.,0,0,0,0,0,1,0,0,1
The administrator informs the chosen candidate.,0,1,0,0,1,0,1,0,1
The Department Secretary informs the administrator about a candidate not being able to login to their account.,0,0,0,0,0,0,1,0,1
The Department Secretary shows proof that the candidate owns the account they are trying to login.,0,0,0,0,0,0,1,0,1
Administrator grants Candidate System access to the candidate.,0,0,1,0,1,0,1,0,1
The administrator presses the start button,1,0,0,0,1,1,0,0,1
System is open to public,0,0,1,0,1,0,1,0,1
"The student who is entitled to be a candidate enters his username, password and the verification code on the candidate interface.",1,0,0,0,1,1,0,0,1
Click on the “Withdraw from candidacy” button specific to candidates.,1,0,0,0,1,1,0,0,1
A form page pops up.,0,0,0,1,1,1,0,0,1
Answers questions about why he/she withdrew from candidacy.,1,0,0,0,1,1,0,0,1
The form is sent to the department secretariat.,1,0,1,0,2,0,2,0,2
The Secretariat approves the form.,1,0,0,0,1,1,0,0,1
The secretary communicates with the administrator.,0,0,0,0,0,0,0,0,0
