model,train_set,test_set,entry,read,write,exit,cfp,interaction,communication,process,microm
bert,hetero,hetero,0.0575,0.2335,0.1888,0.0734,0.1034,0.0296,0.13,0.5636,0.1115
bert,hetero,case1,0.8179,0.4603,0.7464,0.197,0.4451,0.0722,0.2096,0.6056,0.3806
bert,hetero,case2,0.7215,0.4573,0.7115,0.5398,0.5202,0.5984,0.4153,0.9883,0.6568
bert,heterogrouped,heterogrouped,0.1757,0.3497,0.1979,0.2319,0.2673,0.2789,0.1715,0.5481,0.3007
bert,heterounique,heterounique,0.055,0.2402,0.2019,0.0964,0.1073,0.0201,0.1262,0.5669,0.1141
bert,heterounique,case1,0.9038,0.5324,0.9139,0.175,0.5133,0.0061,0.1904,0.4296,0.4273
bert,heterounique,case2,0.7597,0.6026,0.7902,0.572,0.5856,0.5762,0.3927,0.9556,0.6347
bert,case1,case1,0.0068,0.1872,0.5694,0.0013,0.1948,0.0012,0.0672,0.6972,0.2345
bert,case2,case2,0.0646,0.3094,0.1377,0.2028,0.2522,0.2263,0.0929,0.1441,0.2877
se-bert,hetero,hetero,0.0565,0.2056,0.1913,0.083,0.0965,0.0201,0.1182,0.5758,0.1104
se-bert,hetero,case1,0.8595,0.6736,0.9234,0.1179,0.5025,0.0392,0.4864,0.8028,0.3691
se-bert,hetero,case2,0.7563,0.539,0.8525,0.5893,0.5828,0.598,0.6335,0.9931,0.6886
se-bert,heterogrouped,heterogrouped,0.1847,0.3096,0.2169,0.2201,0.2559,0.2852,0.2082,0.5786,0.3015
se-bert,heterounique,heterounique,0.0603,0.2514,0.1908,0.1009,0.1136,0.022,0.151,0.5796,0.1091
se-bert,heterounique,case1,0.9338,0.6632,0.9187,0.1117,0.5268,0.0037,0.3504,0.507,0.3676
se-bert,heterounique,case2,0.7792,0.5857,0.7967,0.5876,0.5979,0.5794,0.5337,0.9623,0.6597
se-bert,case1,case1,0.0095,0.2186,0.6411,0.0013,0.1821,0.0012,0.088,0.6268,0.2132
se-bert,case2,case2,0.0712,0.2297,0.1344,0.2108,0.2442,0.2224,0.0734,0.1589,0.2696
