model,train_set,test_set,entry,read,write,exit,cfp,interaction,communication,process,microm
bert,hetero,hetero,0.0549,0.0725,0.0578,0.0681,0.174,0.0794,0.1103,0.0618,0.2
bert,hetero,case1,0.7379,0.3726,0.2925,0.2209,1.2282,0.0801,0.3022,0.3252,0.6238
bert,hetero,case2,0.8269,0.3731,0.269,1.0749,2.0363,1.8667,0.455,1.6982,3.9333
bert,heterogrouped,heterogrouped,0.3618,0.3128,0.2717,0.387,0.951,0.6998,0.4408,0.2322,1.09
bert,heterounique,heterounique,0.0616,0.0796,0.0585,0.0695,0.1797,0.0854,0.1101,0.0648,0.2018
bert,heterounique,case1,0.8167,0.3956,0.2658,0.1954,1.426,0.0158,0.284,0.3981,0.6723
bert,heterounique,case2,0.8713,0.3462,0.2901,1.1029,2.2503,1.8152,0.4386,1.648,3.7918
bert,case1,case1,0.1117,0.2476,0.2294,0.0352,0.4272,0.0109,0.2075,0.1553,0.3556
bert,case2,case2,0.1778,0.1567,0.1029,0.4222,0.6468,0.5018,0.1754,0.3988,0.9053
se-bert,hetero,hetero,0.0529,0.0667,0.0569,0.0691,0.1603,0.0804,0.1064,0.0613,0.1936
se-bert,hetero,case1,0.7743,0.4709,0.2488,0.1444,1.4199,0.0473,0.4636,0.216,0.7112
se-bert,hetero,case2,0.8632,0.3333,0.3146,1.1158,2.248,1.8702,0.6339,1.7076,4.1322
se-bert,heterogrouped,heterogrouped,0.3633,0.3112,0.2322,0.3728,0.9226,0.6651,0.436,0.2227,1.0348
se-bert,heterounique,heterounique,0.0564,0.079,0.0606,0.0711,0.1839,0.0817,0.1133,0.0653,0.2007
se-bert,heterounique,case1,0.8374,0.449,0.267,0.1371,1.4769,0.0121,0.3786,0.2925,0.6383
se-bert,heterounique,case2,0.8901,0.3415,0.2982,1.1135,2.2877,1.8222,0.5579,1.6538,3.9474
se-bert,case1,case1,0.1068,0.2524,0.2184,0.0352,0.4041,0.0109,0.1942,0.1456,0.3398
se-bert,case2,case2,0.1673,0.1497,0.0982,0.4234,0.6164,0.4959,0.1614,0.3696,0.8702
